Date,mp_id,rc_id,Actual_Revenue,Forecasted_Revenue
2024-04-06,1,3,21506.5375,12488.917821377674
2024-04-07,1,3,10570.0,12488.917821377674
2024-04-08,1,3,9072.0,11955.36261905106
2024-04-09,1,3,6574.0,11955.36261905106
2024-04-10,1,3,2374.5,11955.36261905106
2024-04-11,1,3,2726.8,11763.959397923103
2024-04-12,1,3,4421.0,12770.48295962224
2024-04-13,1,3,5891.0,12488.917821377674
2024-04-14,1,3,2556.5,12488.917821377674
2024-04-15,1,3,1229.0,11955.36261905106
2024-04-16,1,3,9829.0,11955.36261905106
2024-04-17,1,3,3464.0,11955.36261905106
2024-04-18,1,3,2909.0,11763.959397923103
2024-04-19,1,3,7248.0,12770.48295962224
2024-04-20,1,3,3919.8,12488.917821377674
2024-04-21,1,3,2563.9,12488.917821377674
2024-04-22,1,3,2501.0,11955.36261905106
2024-04-23,1,3,3123.6,11955.36261905106
2024-04-24,1,3,7427.0,11955.36261905106
2024-04-25,1,3,2621.0,11763.959397923103
2024-04-26,1,3,10863.5,12770.48295962224
2024-04-27,1,3,2413.0,12488.917821377674
2024-04-28,1,3,4230.0,12488.917821377674
2024-04-29,1,3,3731.7,11955.36261905106
2024-04-30,1,3,2979.0,11955.36261905106
2024-04-01,1,4,190.0,887.305774380777
2024-04-02,1,4,520.0,887.305774380777
2024-04-03,1,4,115.0,887.305774380777
2024-04-04,1,4,617.5,887.305774380777
2024-04-05,1,4,100.0,887.305774380777
2024-04-06,1,4,332.0,887.305774380777
2024-04-07,1,4,807.5,887.305774380777
2024-04-08,1,4,450.0,887.305774380777
2024-04-09,1,4,456.0,887.305774380777
2024-04-10,1,4,548.5,887.305774380777
2024-04-11,1,4,382.0,887.305774380777
2024-04-12,1,4,158.0,887.305774380777
2024-04-13,1,4,0.0,887.305774380777
2024-04-14,1,4,214.0,887.305774380777
2024-04-15,1,4,220.0,887.305774380777
2024-04-16,1,4,0.0,887.305774380777
2024-04-17,1,4,0.0,887.305774380777
2024-04-18,1,4,1553.5625,887.305774380777
2024-04-19,1,4,527.0,887.305774380777
2024-04-20,1,4,835.0,887.305774380777
2024-04-21,1,4,60.0,887.305774380777
2024-04-22,1,4,270.0,887.305774380777
2024-04-23,1,4,307.0,887.305774380777
2024-04-24,1,4,696.5,887.305774380777
2024-04-25,1,4,757.25,887.305774380777
2024-04-26,1,4,310.0,887.305774380777
2024-04-27,1,4,772.0,887.305774380777
2024-04-28,1,4,338.0,887.305774380777
2024-04-29,1,4,25.0,887.305774380777
2024-04-30,1,4,292.0,887.305774380777
2024-04-01,1,5,36.0,887.305774380777
2024-04-02,1,5,12.0,887.305774380777
2024-04-03,1,5,25.0,887.305774380777
2024-04-04,1,5,49.0,887.305774380777
2024-04-05,1,5,137.0,887.305774380777
2024-04-06,1,5,228.5,887.305774380777
2024-04-07,1,5,9.0,887.305774380777
2024-04-08,1,5,0.0,887.305774380777
2024-04-09,1,5,93.0,887.305774380777
2024-04-10,1,5,191.0,887.305774380777
2024-04-11,1,5,133.0,887.305774380777
2024-04-12,1,5,104.0,887.305774380777
2024-04-13,1,5,73.0,887.305774380777
2024-04-14,1,5,114.0,887.305774380777
2024-04-15,1,5,228.5,887.305774380777
2024-04-16,1,5,228.5,887.305774380777
2024-04-17,1,5,228.5,887.305774380777
2024-04-18,1,5,83.0,887.305774380777
2024-04-19,1,5,132.0,887.305774380777
2024-04-20,1,5,0.0,887.305774380777
2024-04-21,1,5,113.0,887.305774380777
2024-04-22,1,5,106.0,887.305774380777
2024-04-23,1,5,65.0,887.305774380777
2024-04-24,1,5,162.0,887.305774380777
2024-04-25,1,5,93.0,887.305774380777
2024-04-26,1,5,39.0,887.305774380777
2024-04-27,1,5,50.0,887.305774380777
2024-04-28,1,5,105.0,887.305774380777
2024-04-29,1,5,9.0,887.305774380777
2024-04-30,1,5,0.0,887.305774380777
2024-04-01,1,6,25620.0,10255.021449052612
2024-04-02,1,6,15525.0,10255.021449052612
2024-04-03,1,6,7400.0,16362.45447751767
2024-04-04,1,6,12570.0,18133.85808570196
2024-04-05,1,6,33720.0,18133.85808570196
2024-04-06,1,6,24620.0,17909.44688668712
2024-04-07,1,6,0.0,10255.021449052612
2024-04-08,1,6,0.0,10255.021449052612
2024-04-09,1,6,0.0,10255.021449052612
2024-04-10,1,6,14250.0,16362.45447751767
2024-04-11,1,6,0.0,18133.85808570196
2024-04-12,1,6,0.0,18133.85808570196
2024-04-13,1,6,15210.0,17909.44688668712
2024-04-14,1,6,14000.0,10255.021449052612
2024-04-15,1,6,0.0,10255.021449052612
2024-04-16,1,6,0.0,10255.021449052612
2024-04-17,1,6,1500.0,16362.45447751767
2024-04-18,1,6,1520.0,18133.85808570196
2024-04-19,1,6,0.0,18133.85808570196
2024-04-20,1,6,22300.0,17909.44688668712
2024-04-21,1,6,24000.0,10255.021449052612
2024-04-22,1,6,0.0,10255.021449052612
2024-04-23,1,6,37130.0,10255.021449052612
2024-04-24,1,6,25895.0,16362.45447751767
2024-04-25,1,6,29125.0,18133.85808570196
2024-04-26,1,6,52200.0,18133.85808570196
2024-04-27,1,6,51665.0,17909.44688668712
2024-04-28,1,6,41065.0,10255.021449052612
2024-04-29,1,6,1820.0,10255.021449052612
2024-04-30,1,6,12640.0,10255.021449052612
