Date,MealPeriod,RevenueCenterName,Revenue_forecast
2024-05-30,Dinner,RevenueCenter_6,275.58136
2024-05-01,Dinner,RevenueCenter_7,64.59874
2024-05-02,Dinner,RevenueCenter_7,62.694237
2024-05-03,Dinner,RevenueCenter_7,62.155876
2024-05-04,Dinner,RevenueCenter_7,64.14799
2024-05-05,Dinner,RevenueCenter_7,53.749023
2024-05-06,Dinner,RevenueCenter_7,59.1408
2024-05-07,Dinner,RevenueCenter_7,60.928337
2024-05-08,Dinner,RevenueCenter_7,61.655815
2024-05-09,Dinner,RevenueCenter_7,61.47942
2024-05-10,Dinner,RevenueCenter_7,61.11782
2024-05-11,Dinner,RevenueCenter_7,63.38806
2024-05-12,Dinner,RevenueCenter_7,51.08925
2024-05-13,Dinner,RevenueCenter_7,57.03913
2024-05-14,Dinner,RevenueCenter_7,59.8832
2024-05-15,Dinner,RevenueCenter_7,61.76532
2024-05-16,Dinner,RevenueCenter_7,61.90103
2024-05-17,Dinner,RevenueCenter_7,61.57345
2024-05-18,Dinner,RevenueCenter_7,64.12427
2024-05-19,Dinner,RevenueCenter_7,51.267353
2024-05-20,Dinner,RevenueCenter_7,57.37921
2024-05-21,Dinner,RevenueCenter_7,60.457745
2024-05-22,Dinner,RevenueCenter_7,62.66368
2024-05-23,Dinner,RevenueCenter_7,62.795006
2024-05-24,Dinner,RevenueCenter_7,62.452408
2024-05-25,Dinner,RevenueCenter_7,65.24161
2024-05-26,Dinner,RevenueCenter_7,52.009052
2024-05-27,Dinner,RevenueCenter_7,58.040108
2024-05-28,Dinner,RevenueCenter_7,61.172028
2024-05-29,Dinner,RevenueCenter_7,63.550488
2024-05-30,Dinner,RevenueCenter_7,63.619972
2024-05-01,Dinner,RevenueCenter_8,17021.986
2024-05-02,Dinner,RevenueCenter_8,13738.215
2024-05-03,Dinner,RevenueCenter_8,14497.53
2024-05-04,Dinner,RevenueCenter_8,12527.887
2024-05-05,Dinner,RevenueCenter_8,6076.659
2024-05-06,Dinner,RevenueCenter_8,5540.3613
2024-05-07,Dinner,RevenueCenter_8,6114.9277
2024-05-08,Dinner,RevenueCenter_8,6402.631
2024-05-09,Dinner,RevenueCenter_8,6092.253
2024-05-10,Dinner,RevenueCenter_8,4048.3545
2024-05-11,Dinner,RevenueCenter_8,3831.336
2024-05-12,Dinner,RevenueCenter_8,3256.751
2024-05-13,Dinner,RevenueCenter_8,4297.8535
2024-05-14,Dinner,RevenueCenter_8,5015.1465
2024-05-15,Dinner,RevenueCenter_8,5924.3643
2024-05-16,Dinner,RevenueCenter_8,5678.55
2024-05-17,Dinner,RevenueCenter_8,3851.963
2024-05-18,Dinner,RevenueCenter_8,3693.3037
2024-05-19,Dinner,RevenueCenter_8,3171.371
2024-05-20,Dinner,RevenueCenter_8,4259.6055
2024-05-21,Dinner,RevenueCenter_8,4964.869
2024-05-22,Dinner,RevenueCenter_8,5856.749
2024-05-23,Dinner,RevenueCenter_8,5616.496
2024-05-24,Dinner,RevenueCenter_8,3839.2861
2024-05-25,Dinner,RevenueCenter_8,3673.6572
2024-05-26,Dinner,RevenueCenter_8,3165.9473
2024-05-27,Dinner,RevenueCenter_8,4272.995
2024-05-28,Dinner,RevenueCenter_8,4949.8867
2024-05-29,Dinner,RevenueCenter_8,5813.3213
2024-05-30,Dinner,RevenueCenter_8,5566.0244
2024-05-01,Dinner,RevenueCenter_9,14.825273
2024-05-02,Dinner,RevenueCenter_9,12.860493
2024-05-03,Dinner,RevenueCenter_9,12.362929
2024-05-04,Dinner,RevenueCenter_9,13.281187
2024-05-05,Dinner,RevenueCenter_9,8.99211
2024-05-06,Dinner,RevenueCenter_9,10.743364
2024-05-07,Dinner,RevenueCenter_9,11.62543
2024-05-08,Dinner,RevenueCenter_9,11.600768
2024-05-09,Dinner,RevenueCenter_9,11.191023
2024-05-10,Dinner,RevenueCenter_9,11.049717
2024-05-11,Dinner,RevenueCenter_9,12.4694195
2024-05-12,Dinner,RevenueCenter_9,7.643078
2024-05-13,Dinner,RevenueCenter_9,9.677101
2024-05-14,Dinner,RevenueCenter_9,11.26744
2024-05-15,Dinner,RevenueCenter_9,11.691858
2024-05-16,Dinner,RevenueCenter_9,11.302366
2024-05-17,Dinner,RevenueCenter_9,11.168082
2024-05-18,Dinner,RevenueCenter_9,12.727695
2024-05-19,Dinner,RevenueCenter_9,7.706792
2024-05-20,Dinner,RevenueCenter_9,9.839258
2024-05-21,Dinner,RevenueCenter_9,11.600348
2024-05-22,Dinner,RevenueCenter_9,12.123241
2024-05-23,Dinner,RevenueCenter_9,11.658037
2024-05-24,Dinner,RevenueCenter_9,11.510457
2024-05-25,Dinner,RevenueCenter_9,13.160772
2024-05-26,Dinner,RevenueCenter_9,8.0032015
2024-05-27,Dinner,RevenueCenter_9,10.130744
2024-05-28,Dinner,RevenueCenter_9,11.961277
2024-05-29,Dinner,RevenueCenter_9,12.534702
2024-05-30,Dinner,RevenueCenter_9,11.985174
2024-05-01,Lunch,RevenueCenter_1,733.2426
2024-05-02,Lunch,RevenueCenter_1,719.5495
2024-05-03,Lunch,RevenueCenter_1,707.03516
2024-05-04,Lunch,RevenueCenter_1,770.0264
2024-05-05,Lunch,RevenueCenter_1,620.0704
2024-05-06,Lunch,RevenueCenter_1,540.75305
2024-05-07,Lunch,RevenueCenter_1,513.62964
2024-05-08,Lunch,RevenueCenter_1,556.2266
2024-05-09,Lunch,RevenueCenter_1,587.13184
2024-05-10,Lunch,RevenueCenter_1,601.3547
2024-05-11,Lunch,RevenueCenter_1,707.4767
2024-05-12,Lunch,RevenueCenter_1,581.30164
2024-05-13,Lunch,RevenueCenter_1,511.2954
2024-05-14,Lunch,RevenueCenter_1,490.64886
2024-05-15,Lunch,RevenueCenter_1,544.45306
2024-05-16,Lunch,RevenueCenter_1,578.8451
